Train Loss,Valid Loss,Train Accuracy,Valid Accuracy
1.4439726769924164,1.422320693441965,0.40625,0.4368932038834951
1.263455460468928,1.2449538881338915,0.4739583333333333,0.5339805825242718
1.1176993250846863,1.1679625464874563,0.578125,0.6116504854368932
0.9678684622049332,1.0923129169686328,0.6458333333333334,0.6407766990291263
0.8750325093666712,1.0528022178168435,0.6848958333333334,0.6504854368932039
0.7766117503245672,1.0219009732737125,0.7369791666666666,0.6019417475728155
0.7273914714654287,1.0024868180450883,0.7317708333333334,0.6699029126213593
0.678546259800593,0.9890374003104794,0.7760416666666666,0.6699029126213593
0.6083322813113531,0.9826879235147272,0.8203125,0.6699029126213593
0.5712098355094591,0.9772981868206876,0.8151041666666666,0.6601941747572816
0.5754794155557951,0.9740089455854546,0.8307291666666666,0.6699029126213593
0.5150272299846014,0.9662694502802729,0.8619791666666666,0.6699029126213593
0.4932550738255183,0.9620746524588576,0.8619791666666666,0.6601941747572816
0.509336012105147,0.9616825406991162,0.84375,0.6699029126213593
0.5201433996359507,0.9651640607315359,0.828125,0.6699029126213593
